central_case,similar_case,similarity,matched_chunk
Cr.B.A.No.S-994 of 2019,Civil Judge did not,0.7583078,LHC_civil_2025_civil_appeal_lhc_2010_2025LHC7956_8
Cr.B.A.No.S-994 of 2019,Civil Court. Any private partition which is not,0.75144553,LHC_civil_2022_civil_general_lhc_1947_2022LHC9692_1
Cr.B.A.No.S-994 of 2019,Civil Revision No. 1266 of 2002,0.74957013,LHC_civil_2021_civil_general_lhc_1989_2021LHC5449_9
W.P. No.3176 of 2020,constitutional petitions No. 25057 of 2020,0.74231935,LHC_civil_2023_civil_appeal_lhc_2009_2023LHC3663_6
Cr.B.A.No.S-994 of 2019,constitutive C.R. No.2682 of 2011,0.7290328,LHC_civil_2021_civil_appeal_lhc_2011_2021LHC5348_10
W.P. No.61653 of 2020,W.P. No.41017 of 2022,0.72890556,LHC_civil_2023_civil_general_lhc_1964_2023LHC354_7
W.P. No.61653 of 2020,W.P.No.12044/2021,0.7282676,LHC_civil_2021_civil_appeal_lhc_20_2021LHC363_2
W.P. No.3176 of 2020,W.P. No.18754 of 2021,0.72786564,LHC_civil_2021_civil_appeal_lhc_2021_2021LHC5225_4
W.P. No.61653 of 2020,Cr.B.A.No.S-994 of 2019,0.7271473,LHC_civil_Law_on_the_Custody_of_Children_in_Pakistan_Past__Present_and_20
W.P. No.61653 of 2020,Cr.B.A.No.S-994 of 2024,0.7261436,LHC_civil_2025_civil_contract_lhc_2024_2025LHC2078_2
