File Name,Case Type,Court,Year,Topic,Summary,Local Path
criminal_appeal_pakistan_20_LifeImprisonment-Anti-TerrorismAct.pdf,criminal,Supreme Court,20,appeal,"supreme court of pakistan
(appellate jurisdiction)
present:
justice jamal khan mandokhail
justice syed hasan azhar rizvi
justice musarrat hilali
criminal appeal no.543 of 20 19
[on appeal against the ",c:\hafsa_thesis material\supreme_court_scraper\pdfs\criminal\criminal_appeal_pakistan_20_LifeImprisonment-Anti-TerrorismAct.pdf
criminal_appeal_pakistan_20_CrlA543-2019.pdf,criminal,Supreme Court,20,appeal,"supreme court of pakistan
(appellate jurisdiction)
present:
justice jamal khan mandokhail
justice syed hasan azhar rizvi
justice musarrat hilali
criminal appeal no.543 of 20 19
[on appeal against the ",c:\hafsa_thesis material\supreme_court_scraper\pdfs\criminal\criminal_appeal_pakistan_20_CrlA543-2019.pdf
service_appeal_pakistan_20_Promotion-Quota.pdf,service,Supreme Court,20,appeal,"supreme court of pakistan
(appellate jurisdiction)
present:
justice muhammad ali mazhar
justice musarrat hilali
civil petition for leave to appeal no.2769/2025
[against the judgment dated 14.05.2025 p",c:\hafsa_thesis material\supreme_court_scraper\pdfs\service\service_appeal_pakistan_20_Promotion-Quota.pdf
service_appeal_pakistan_20_CPLA2769-2025.pdf,service,Supreme Court,20,appeal,"supreme court of pakistan
(appellate jurisdiction)
present:
justice muhammad ali mazhar
justice musarrat hilali
civil petition for leave to appeal no.2769/2025
[against the judgment dated 14.05.2025 p",c:\hafsa_thesis material\supreme_court_scraper\pdfs\service\service_appeal_pakistan_20_CPLA2769-2025.pdf
civil_general_pakistan_unknown_Declaration-Possession.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Declaration-Possession.pdf
civil_general_pakistan_unknown_CPLA1038-P-2025.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CPLA1038-P-2025.pdf
civil_general_pakistan_unknown_Family-GuardianWards-MaintenanceAllowance.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Family-GuardianWards-MaintenanceAllowance.pdf
civil_general_pakistan_unknown_CPLA3767-2025.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CPLA3767-2025.pdf
criminal_appeal_pakistan_20_ForEnhancement-LItoDeath.pdf,criminal,Supreme Court,20,appeal,"supreme court of pakistan
(appellate jurisdiction)
present:
justice jamal khan mandokhail
justice musarrat hilali
justice shakeel ahmad
criminal petition no. 99-p/2019 & jail petition no.
614/2019.
(a",c:\hafsa_thesis material\supreme_court_scraper\pdfs\criminal\criminal_appeal_pakistan_20_ForEnhancement-LItoDeath.pdf
criminal_appeal_pakistan_20_CrlPLA99-P-2019.pdf,criminal,Supreme Court,20,appeal,"supreme court of pakistan
(appellate jurisdiction)
present:
justice jamal khan mandokhail
justice musarrat hilali
justice shakeel ahmad
criminal petition no. 99-p/2019 & jail petition no.
614/2019.
(a",c:\hafsa_thesis material\supreme_court_scraper\pdfs\criminal\criminal_appeal_pakistan_20_CrlPLA99-P-2019.pdf
civil_general_pakistan_unknown_Service-Promotion.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Service-Promotion.pdf
civil_general_pakistan_unknown_CPLA700-P-2024.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CPLA700-P-2024.pdf
criminal_appeal_pakistan_20_LifeImprisonment-Sessions.pdf,criminal,Supreme Court,20,appeal,"supreme court of pakistan
(appellate jurisdiction)
present:
justice jamal khan mandokhail
justice musarrat hilali
justice shakeel ahmad
criminal petitions no. 63-q and 64-q of 2024
(against the judgme",c:\hafsa_thesis material\supreme_court_scraper\pdfs\criminal\criminal_appeal_pakistan_20_LifeImprisonment-Sessions.pdf
criminal_appeal_pakistan_20_CrlPLA63-Q-2024.pdf,criminal,Supreme Court,20,appeal,"supreme court of pakistan
(appellate jurisdiction)
present:
justice jamal khan mandokhail
justice musarrat hilali
justice shakeel ahmad
criminal petitions no. 63-q and 64-q of 2024
(against the judgme",c:\hafsa_thesis material\supreme_court_scraper\pdfs\criminal\criminal_appeal_pakistan_20_CrlPLA63-Q-2024.pdf
